country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap,strength_category
Bangladesh,204000,0,11584,0,0,4413,14050000,767000,61,580,6,3340000000,0,58020000000,41,66129296,21395000000,7,0,77355000,2,5,30384000000,24620000000,263000,13000,6800000,3205246,3260000000,126293000000,28000000,1473000000000,2460,0,369105,103,36,4,2,0,320,148460,558,212,67,82661620,121,75280,168697184,17,487,83,17,8370,7.90E-06,0.00226748133061778,63,62,Low
Belarus,63000,0,6820,50,31,3599,710000,0,0,0,0,1034784000,0,18010000000,43,3724569,8912000000,0,0,4817000,0,0,16683000000,73929000,125000,30000,55000,104516,0,2832000000,198000000,265220000000,5528,365400,86600,206,357,0,0,0,577,207600,4,194,70,5035769,0,0,9501451,46,190,27,4,2500,0.000153104719457941,0.00390160621370937,95,94,Low
Belgium,26390,0,3588,12,0,1297,4372000,1269000,2,67,0,14900000000,0,1594190730000,44,3880753,41449000000,2,0,5416000,7,5,15347000000,13436000,596000,11000,0,119776,4100000000,0,0,749229000000,3602,6600,118414,0,0,0,0,0,0,30528,198,104,14,4910830,9,10190,11977634,48,0,27,7,2043,2.30E-05,0.0198871106163803,29,28,Low
Beliz,2000,0,164,0,0,542,0,0,15,386,0,34400000,0,1235000000,0,90226,498087000,0,0,190000,2,0,0,0,5000,800,0,8732,0,0,6700000,5538000000,0,850,3281,0,0,1,0,0,0,22966,774,3,1,158000,15,0,415789,27,0,0,1,825,0.000113924050632911,0.00621162874684001,141,140,Low
Benin,4750,0,92,0,0,2123,164000,0,2,121,0,137690000,0,6309000000,0,3189260,698900000,0,0,6397000,1,0,182131000,0,40000,0,0,308638,0,1133000000,8000000,56424000000,438,0,16000,0,0,1,0,0,0,112622,6,7,5,5584880,2,0,14697052,10,16,0,1,150,1.61E-06,0.00244027364242166,137,136,Low
Bhutan,16000,0,78,0,0,1136,105000,4000,0,0,0,26600000,0,2827000000,0,122067,941018000,0,0,406500,0,0,0,0,4000,0,0,4423,0,0,0,11517000000,0,50000,12205,0,0,0,0,0,0,38394,0,2,2,203446,0,0,884546,4,0,0,0,0,9.83E-06,0.00230962924372666,143,142,Low
Bolivia,40000,0,764,0,0,7252,9000,0,50,0,0,467670000,0,11174000000,0,4112199,1977000000,0,0,6859000,0,0,3055000000,13760000000,100000,58000,0,233928,1000000,302990000000,240900000,122200000000,3690,40000,90568,0,0,2,0,0,54,1098581,50,67,29,5417269,67,0,12311974,201,58,20,15,10000,3.47E-05,0.00382708674304419,117,116,Low
Bosnia and Herzegovina,18000,0,892,0,0,1543,12304000,12311000,0,20,0,289920000,0,5359000000,0,1956316,9419000000,0,0,1356000,1,0,225824000,0,34000,0,0,49383,2264000000,0,0,64641000000,965,8000,8619,24,0,0,0,0,45,51197,0,15,15,2355176,0,0,3798671,20,300,0,0,990,2.55E-05,0.00448507912934515,130,129,Low
Botswana,12000,0,1224,0,0,4347,1351000,2242000,0,0,0,581000000,0,1761000000,10,617568,3456000000,0,0,1173000,0,0,0,0,22000,0,0,24507,1660000000,0,0,45553000000,888,0,31747,20,12,0,0,0,45,581730,0,45,16,1029281,0,0,2450668,122,36,10,9,0,8.74E-05,0.0127543740258599,113,112,Low
Brazil,376000,0,22464,30,0,16145,32223000,15556000,22,7491,2,26400000000,0,198582000000,44,88680759,329732000000,8,1,106790000,45,4,31654000000,22670000000,3163000,4221000,200000,3520824,6596000000,363985000000,12715000000,4165000000000,29850,1340000,2000000,82,149,25,6,0,294,8515770,888,495,186,112226271,69,166419,220051512,5297,412,124,107,50000,7.65E-06,0.00633853541416566,22,21,Low
Bulgaria,36950,0,6724,5,4,1806,20557000,20970000,0,354,3,2485350000,0,14277000000,11,2611324,43698000000,6,0,3124000,2,17,2801000000,20837000,101000,4000,0,61044,2174000000,5663000000,15000000,219645000000,4029,3000,19512,24,48,0,0,0,334,110880,78,71,23,3187850,45,0,6782659,107,24,26,6,470,0.000141160970560095,0.0113153042409342,73,72,Low
Burkina Faso,7500,0,876,3,5,3611,0,0,0,0,0,4590000000,0,3565000000,0,6060098,47138000,0,0,6461000,0,0,0,0,37000,0,4500,368675,0,0,0,60001000000,622,0,15304,9,0,2,0,0,0,274200,0,26,19,8525614,0,0,23042199,49,8,0,2,0,3.05E-06,0.0764987250212496,60,59,Low
Cambodia,124300,0,5439,0,0,2530,4390000,27000,20,443,0,750000000,0,8019000000,0,5733393,22506000000,0,0,9904000,2,0,0,0,77000,0,10000,307146,0,0,0,123676000000,642,0,61810,521,30,0,0,0,520,181035,195,24,20,8190561,20,0,17063669,12,525,0,4,3700,6.89E-05,0.00606423234904104,106,105,Low
Cameroon,38000,0,860,0,0,5018,0,0,19,400,0,835694942,0,11112000000,0,6224187,4882000000,0,0,11119000,7,0,877058000,2595000000,41000,64000,9000,495458,0,135071000000,200000000,143264000000,987,0,77589,20,18,2,0,0,0,475440,198,35,21,10528476,19,0,30966105,37,52,6,6,0,5.13E-06,0.00583325149374581,103,102,Low
Canada,63500,0,21780,0,0,8893,20092000,50687000,17,202080,0,45824959620,0,2571113270000,66,13500595,119778000000,12,0,22868000,284,0,130316000000,187686000000,2377000,5688000,5500,426743,6582000000,2067126000000,170300000000,2341000000000,49422,23000,1042300,0,0,34,4,6,74,9984670,716,354,146,16681770,67,119637,38794813,1425,0,95,29,636,2.97E-05,0.0195749507133703,13,12,Low
Central African Republic,30000,0,270,8,0,5920,0,0,0,0,0,300000000,0,724179000,0,1254512,374405000,0,0,2000000,0,0,0,0,2000,0,1000,101717,3000000,0,0,5926000000,0,0,24000,0,0,0,0,0,0,622984,0,8,0,2203873,0,0,5650957,43,0,0,0,2800,3.63E-06,0.05062436719541,129,128,Low
Chad,37750,0,4345,7,3,6406,0,0,0,0,0,706800000,0,2286000000,0,3856906,1050000000,0,0,6600000,0,0,0,0,15000,124000,5000,381872,0,0,1500000000,52895000000,0,0,40000,16,10,2,0,0,90,1284000,0,40,16,6873694,0,0,19093595,44,13,8,7,12400,1.89E-05,0.0133623215804896,108,107,Low
Chile,80000,0,7480,0,0,7801,8087000,474000,40,6435,0,6800000000,0,235950000000,45,7521855,44403000000,8,0,10088000,39,0,6916000000,1200000000,404000,11000,50000,298634,1181000000,97976000000,150000000,596556000000,7282,40000,77801,9,48,18,4,5,386,756102,249,274,86,8959033,130,176065,18664652,379,249,92,33,12290,8.82E-05,0.011398762228525,46,45,Low
China,2035000,3,152040,371,281,22457,5191000000,4805000000,150,14500,50,303000000000,53,488114000000,1443,626864169,3456000000000,46,4,773880000,66,36,366160000000,225341000000,16189000,4984000,625000,19810606,157041000000,6654000000000,26023000000,33598000000000,150000,510000,5200000,2770,2940,105,61,9,5870,9596960,8314,3529,1007,764123366,841,3192411,1415043270,552,1400,401,287,27700,1.34E-05,0.00901839395202095,2,1,Low
Colombia,429000,0,12780,24,0,6672,9720000,52376000,158,3208,2,15800000000,0,108027000000,16,19190694,61898000000,9,0,26822000,14,0,11451000000,11290000000,374000,800000,150000,843002,4554000000,87782000000,2036000000,978024000000,2141,998000,206102,0,6,27,4,1,0,1138910,153,430,255,24298295,213,31090,49588357,661,110,72,82,24725,2.65E-05,0.016155022780627,28,27,Low
Croatia,14325,0,4874,0,0,2237,596000,0,11,5835,0,2744000000,0,60500000000,12,1564594,3336000000,0,0,1733000,16,1,2502000000,741456000,70000,11000,2000,53952,0,24919000000,71000000,164825000000,2617,20100,26958,42,25,0,0,0,55,56594,384,67,37,2033557,30,0,4150116,45,42,26,0,4714,7.47E-05,0.0166479599575307,70,69,Low
Cuba,50000,0,7792,0,4,29,1000,0,6,3735,1,3301500000,0,36372600000,11,4737328,10442000000,1,0,489000,34,4,659434000,659434000,118000,34000,1145000,142558,0,70792000000,124000000,81165000000,8367,40000,60000,200,140,0,0,0,194,110860,65,20,13,5921661,19,0,10966038,120,364,3,4,240,3.93E-05,0.0406763999260765,64,63,Low
Czechia,30334,0,6275,16,4,2046,33239000,31946000,0,0,0,9174000000,0,232320000000,12,4129236,146281000000,0,0,5541000,0,0,7602000000,224725000,219000,4000,0,97541,3595000000,3964000000,15000000,521928000000,9548,4900,129418,16,53,2,0,0,20,78867,0,103,42,5093808,0,0,10837890,252,0,21,10,664,2.41E-05,0.0175771370763783,37,36,Low
Democratic Republic of the Congo,166580,0,7164,6,9,10481,304000,0,16,37,0,960000000,0,7926000000,0,31389623,3898125000,0,0,38546000,3,0,380000,380000,35000,19000,10000,2538867,987999000,991090000,180000000,164367000000,4007,30800,152373,81,16,0,0,0,212,2344858,24,56,38,39237029,16,0,115403027,273,125,2,10,15000,7.24E-06,0.00584058843928525,98,97,Low
Denmark,21000,0,5930,19,0,140,1135000,0,9,7314,0,14250000000,0,611050000000,26,2126436,108405000000,9,0,3210000,69,6,2208000000,1879000000,151000,63000,51000,77651,0,29534000000,441000000,440558000000,2682,12000,73591,8,19,3,0,0,44,43094,715,122,34,2628180,50,121180,5973136,102,0,36,4,400,8.22E-05,0.0323453438593783,30,29,Low
Dominican Republic,89000,0,930,8,0,376,2356000,0,14,1288,0,903000000,0,35044000000,0,4034315,13471000000,0,0,5413000,17,0,2440000000,0,146000,0,30000,97343,0,0,0,276884000000,496,189000,19705,0,0,1,0,0,6,48320,40,80,49,4975294,34,0,10815857,32,14,17,11,0,2.41E-05,0.00326129353808815,101,100,Low
Ecuador,41250,0,5322,0,0,2237,14000,0,5,2237,6,2963400000,0,39658000000,0,6738074,6908000000,2,0,8821000,6,0,309778000,309778000,272000,480000,1500,329580,24000000,10902000000,8273000000,252728000000,965,118000,43950,24,5,8,2,0,202,283560,154,99,43,8422593,30,0,18309984,317,106,34,20,1500,3.93E-05,0.0117256497103605,65,64,Low
Egypt,438500,0,54694,90,100,2612,3262000,69000,61,2450,7,5193500000,0,117272000000,242,38269053,44921000000,13,2,33749000,31,17,60089000000,64817000000,830000,667000,300000,1668709,182000000,1784000000000,3300000000,1958000000000,5085,479000,65050,648,1056,11,8,0,3620,1001450,441,1088,348,45611372,149,235989,111247248,73,962,344,53,3500,0.000106486601630838,0.00265245148110316,56,55,Low
El Salvador,25000,0,2144,15,0,590,500,0,8,307,0,1037200000,0,12668000000,0,2512278,3705000000,0,0,2890000,3,0,226472,0,56000,3,15000,145831,0,0,0,73961000000,13,0,9012,0,0,0,0,0,0,21041,5,51,28,3181777,13,0,6628702,27,76,10,3,422,2.01E-05,0.0140236070361406,94,93,Low
Eritrea,350000,0,1040,0,6,1840,0,0,18,2234,0,219000000,0,461376000,1,1598677,191694000,0,0,1710000,2,0,0,0,5000,0,0,76127,0,0,0,2534000000,306,680000,16000,44,45,0,0,0,148,117600,9,20,13,2220385,23,0,6343956,11,89,1,5,0,8.60E-05,0.0864246250986582,132,131,Low
Estonia,7700,0,2579,0,0,657,800,0,4,3794,0,2375000000,0,29040000000,0,456028,2075000000,0,0,756200,20,4,354912000,0,27000,24000,10000,13132,0,0,0,57001000000,1441,230000,89382,6,48,0,0,0,0,45228,72,2,0,584958,8,0,1193791,34,0,0,2,335,1.71E-05,0.0416659356853388,75,74,Low
Ethiopia,503000,0,8586,0,7,5925,1653000,456000,0,0,0,3720968976,0,25426000000,25,35327989,3784000000,0,0,54470000,0,0,0,0,102000,0,0,2726657,0,24919000000,428000,380895000000,659,138000,180000,79,142,0,0,0,338,1104300,12,104,33,56904143,0,0,118550298,58,469,34,9,0,7.77E-06,0.00976901501988737,62,61,Low
Finland,24000,0,14866,0,0,2563,3933000,811000,8,1250,0,8890000000,0,726000000000,53,1912981,17993000000,0,0,2898000,37,18,1157000000,0,175000,8000,53800,56264,0,0,0,313591000000,5918,870000,108637,76,125,1,0,0,200,338145,282,162,27,2306830,165,19434,5626414,98,667,77,11,8000,0.000228452031575798,0.0283490278738866,40,39,Low
France,264000,1,110784,0,67,4072,12570000,2157000,22,4853,0,67232395000,11,7691315390000,223,23794358,282857000000,5,3,31725000,66,19,37001000000,20132000,1536000,80000,150000,752121,160000000,7787000000,61719000,3732000000000,27860,43444,1053215,9,74,44,9,15,427,643801,553,974,452,30084820,166,487471,68374591,1218,0,140,118,8501,5.21E-05,0.0180151112004287,7,6,Low
Gabon,5000,0,424,0,0,3261,0,0,4,885,0,340950000,0,6442000000,6,532758,1447000000,0,0,824400,9,0,463000000,463000000,14000,204000,2500,46647,0,25995000000,2000000000,48045000000,649,0,14300,28,0,0,0,0,0,267667,87,25,16,932940,5,0,2455105,42,4,0,3,1600,3.22E-05,0.00709647205744614,128,127,Low
Georgia,37000,0,5974,5,11,1814,384000,148000,31,310,0,680000000,0,9085000000,0,2225036,4447000000,0,0,1833000,3,4,2796000000,8760000,34000,300,0,93118,900999000,8495000000,35000000,91849000000,1363,205500,40044,42,67,0,0,0,132,69700,26,61,44,2744538,19,0,4900961,21,121,10,2,0,7.72E-05,0.00740345567180916,109,108,Low
Germany,184324,0,87338,63,49,3694,140994000,109741000,54,2389,6,127400090000,0,6862470230000,127,30955829,377936000000,11,0,43772000,35,12,77516000000,4824000000,2062000,131000,0,841191,35400000000,23390000000,115200000,5247000000000,39379,860000,830000,33,134,27,6,3,296,357022,595,569,292,38694786,96,241492,84119100,840,0,16,55,7300,2.48E-05,0.024280558414332,4,3,Low
Ghana,15500,0,3648,0,0,2420,51000,0,20,539,0,954423756,0,29241000000,0,9961658,3624000000,0,0,13927000,4,0,3912000000,3192000000,96000,176000,0,622604,0,22653000000,660000000,243124000000,947,0,65725,6,0,2,0,0,0,238533,52,18,9,14873310,20,0,34589092,11,6,5,2,1293,2.55E-06,0.00392566655698326,99,98,Low
Greece,142700,0,56416,0,28,1110,10091000,10469000,45,13676,0,8242150000,0,605000000000,178,3985676,15222000000,14,0,4655000,57,3,5173000000,3284000,308000,5000,55000,104611,2876000000,991090000,10000000,192205000000,2345,221350,117000,152,589,8,9,0,1344,131957,1215,560,285,4916713,186,215808,10461091,82,698,86,17,6,0.000425080739917095,0.0428820790302021,43,42,Medium
Guatemala,106114,0,3268,3,0,1667,1012000,0,20,400,0,616000000,0,11862000000,0,6279794,24412000000,0,0,7575000,3,0,2986000,3276000,117000,6000,35000,182552,0,0,86110000,232673000000,800,90000,17440,0,0,2,0,0,0,108889,9,35,20,7484639,25,0,18255216,58,110,0,10,990,8.02E-06,0.00264749240350191,111,110,Low
Honduras,52225,0,4666,7,0,1575,144000,0,93,832,0,612300000,0,7785000000,6,3144632,8036000000,0,0,4296000,8,0,0,0,71000,20,23000,95292,0,0,0,71297000000,699,0,14742,0,0,1,0,0,22,112090,489,45,11,4192843,98,0,9529188,129,48,10,10,465,3.94E-05,0.00858801913123974,112,111,Low
Hungary,41600,0,11502,0,8,2106,4694000,4293000,0,0,0,5887250000,0,151250000000,12,3794462,46422000000,0,0,4954000,0,0,9485000000,1523000000,179000,36000,15000,118269,2633000000,3738000000,12100000,389207000000,7687,20000,203601,0,24,0,0,0,220,103000,1,80,50,4632200,0,0,9855745,109,295,17,3,1622,6.48E-05,0.0151262695686357,53,52,Low
Iceland,0,0,350,0,0,0,137000,0,0,4970,0,500000000,0,24200000000,0,50237,6403000000,0,0,248400,43,0,0,0,19000,0,0,1820,0,0,0,26561000000,0,0,12905,0,0,0,0,0,0,100250,39,0,0,83728,0,0,364036,82,0,0,0,0,0,0.0188245924475735,114,113,Low
India,1431000,2,163554,124,79,13888,1262000000,1020000000,146,7000,21,109000000000,13,212728000000,476,522786598,643043000000,18,0,607691000,56,0,58867000000,33170000000,5271000,822000,2527000,23955181,127727000000,1381000000000,4605000000,14244000000000,65554,1000000,6371847,300,100,72,18,6,3913,3287263,1859,2183,594,662290299,343,631989,1409128296,315,5640,334,277,14500,9.72E-06,0.0076523448469531,5,4,Low
Indonesia,404500,0,28064,34,15,2958,281159000,783453000,211,54716,26,11155297716,0,225273000000,41,114595923,155708000000,10,0,143144000,123,10,36061000000,57410000000,1645000,865000,250000,4786562,35055000000,1408000000000,2480000000,4102000000000,8159,401000,496607,67,153,15,4,1,331,1904569,11422,460,212,137965608,338,324754,281562465,556,396,114,73,21579,8.18E-06,0.00271947774646513,33,32,Low
Iran,610000,0,75939,21,13,5894,3032000,2209000,21,2440,3,9230000000,0,6759000000,188,41541860,120600000000,7,0,28575000,18,1,244890000000,263280000000,2415000,4112000,220000,1414191,1203000000,33987000000000,208600000000,1486000000000,8484,350000,223485,1550,424,10,25,6,2675,1648195,965,551,129,49496685,109,283516,88386937,177,1803,103,86,850,6.74E-05,0.00621130551816958,36,35,Low
Iraq,193000,0,37496,36,39,3809,0,0,55,58,1,8000000000,0,15580000000,26,14308368,100691000000,0,0,12008000,6,0,19298000000,9860000000,1043000,4448000,100000,715418,0,3729000000000,145019000000,585887000000,2272,0,59623,572,434,17,0,0,1188,438317,74,360,183,17675043,67,32565,42083436,73,610,111,15,5279,9.14E-05,0.0136545101700498,44,43,Low
Ireland,7557,0,3296,0,0,443,1341000,0,8,1448,0,1754400500,0,3630000000000,0,1999182,12698000000,0,0,2857000,21,0,5280000000,1447000000,159000,600,0,57568,40000000,9911000000,0,620544000000,1688,1720,102227,0,0,2,0,0,0,70273,94,23,8,2407392,8,0,5233461,100,0,8,5,956,1.29E-05,0.00282719758792285,80,79,Low
Israel,169500,0,62380,45,48,1068,5297000,0,66,273,7,34600000000,0,163350000000,239,3281513,214544000000,0,0,4710000,5,0,11510000000,22886000000,219000,15000,35000,131637,0,176018000000,12730000,472177000000,1497,465000,20391,228,323,19,6,13,1300,21937,41,597,127,3949099,82,40638,9402617,40,171,148,14,0,0.000501126965923113,0.0732776056436463,18,17,High
Italy,165500,2,87364,65,37,1836,12424000,1572000,15,7600,0,37325165000,3,3025000000000,88,22191235,290547000000,14,0,25828000,123,10,68735000000,3117000000,1245000,111000,105000,548684,609999000,45750000000,497934000,3133000000000,18475,18300,228863,21,64,22,8,8,203,301340,1276,714,352,27434219,285,387892,60964931,655,108,152,31,2400,4.38E-05,0.0119135541015001,17,16,Low
Ivory Coast,22000,0,1328,0,5,3458,0,0,7,515,0,18200000,0,26576000000,0,7855221,7583484000,0,0,12595000,5,0,2635000000,2635000000,87000,29000,5500,569653,0,28317000000,100000000,215018000000,660,0,81996,6,0,3,0,0,0,322463,25,22,14,12292521,8,0,29981758,29,4,2,3,980,2.44E-06,8.46E-05,145,144,Low
Japan,251500,0,54390,47,118,0,197612000,27657000,6,29751,0,58000000000,41,5147667910000,217,42874277,1231000000000,8,4,69382000,163,18,92843000000,2220000000,3140000,8000,25000,1108818,350000000,20898000000,44115000,5715000000000,27311,56000,1218772,99,193,135,23,10,734,377915,5229,1429,583,52976836,158,798062,123201945,280,480,399,53,1770,4.38E-05,0.0101487314085739,9,8,Low
Jordan,114500,0,25278,10,44,1744,269000,0,27,26,0,2668500000,0,21058000000,44,2983464,21939000000,0,0,3080000,1,0,4382000000,187262000,97000,20,35000,145262,0,6031000000,1000000,109986000000,509,100000,7203,84,478,11,0,0,1508,89342,34,279,159,3463947,27,0,11174024,18,80,66,12,0,0.000523680067853232,0.0242621788227592,71,70,High
Kazakhstan,110000,0,17460,13,12,13364,86349000,120279000,23,26,0,5836386000,0,25765000000,37,6928922,45808000000,0,0,10285000,0,2,22623000000,27011000000,386000,1955000,55000,283640,25605000000,2407000000000,30000000000,739385000000,16636,135000,96167,287,126,0,0,0,353,2724900,122,168,72,9117003,26,0,20260006,132,194,25,21,43983,6.00E-05,0.00789356830338727,54,53,Low
Kenya,50000,0,9114,0,2,3457,1453000,0,18,536,0,1651803025,0,31451000000,17,14037377,10067000000,0,0,23781000,4,0,0,0,113000,0,25000,931942,0,0,0,328632000000,3819,0,161452,0,18,2,0,0,188,580367,26,154,84,21551160,27,0,58246378,368,53,30,21,0,1.71E-05,0.00502630001034591,81,80,Low
Kosovo,4000,0,1357,0,0,714,6931000,6924000,0,0,0,1177450000,0,785739000,0,743387,1310000000,0,0,500300,0,0,0,0,16000,0,500,17794,1564000000,0,0,25019000000,437,5000,2248,0,0,0,0,0,0,10887,0,0,0,917371,0,0,1977093,2,0,0,0,0,0,0.0470622327031456,91,90,Low
Kuwait,78000,0,7472,0,16,475,60000,0,106,499,0,7987000000,0,60500000000,47,1449920,50728000000,0,0,3003000,6,0,26083000000,19285000000,430000,2910000,7500,37660,0,1784000000000,101500000000,225947000000,0,24000,5749,27,51,0,0,3,367,17818,176,133,68,1726095,123,0,3138355,6,0,13,2,0,0.00036093030800738,0.0353489977738142,45,44,Medium
Kyrgyzstan,23000,0,5372,0,2,4573,4212000,3685000,0,0,0,654000000,0,3617000000,0,2487357,5089000000,0,0,3197000,0,0,438000000,31026000,31000,6000,55000,117270,28499000000,5663000000,40000000,50907000000,424,0,34000,21,30,0,0,0,215,199951,0,7,7,3147772,0,0,6172101,28,174,0,0,576,7.05E-05,0.012846956214273,110,109,Low
Laos,100000,0,7725,0,0,5274,15944000,16629000,47,0,0,355600000,0,9619000000,0,2521277,1770000000,0,0,3585000,0,0,0,0,25000,0,120000,159071,62000000,0,0,66905000000,422,30000,59647,64,50,0,0,0,160,236800,1,29,20,3499565,51,0,7953556,20,97,7,2,4600,6.86E-05,0.00531499887900754,127,126,Low
Latvia,17870,0,3410,0,0,1370,20000,0,11,498,0,42000000,0,48598440000,0,648449,5141000000,0,0,954900,5,6,828214000,0,33000,2000,12500,16211,0,0,0,72516000000,2216,38000,57972,0,47,0,0,0,0,64589,83,3,3,810561,18,0,1801246,55,0,0,0,300,2.59E-05,0.00057918252523581,140,139,Low
Lebanon,80000,0,6912,9,0,484,166000,0,42,225,0,800000000,0,41619000000,0,1775644,33301000000,0,0,1939000,5,0,0,0,115000,0,65000,69738,0,0,0,65415000000,401,15000,21705,11,12,0,0,0,334,10400,51,80,68,2092148,48,0,5364482,8,350,9,0,0,0.00022082567772452,0.0122296109455017,104,103,Low
Liberia,2100,0,550,0,0,1667,0,0,6,579,0,20700000,0,1335000000,0,1913912,599660000,0,0,2607000,4,0,0,0,5000,0,5500,65247,0,0,0,9308000000,429,0,10600,0,0,0,0,0,0,111369,4821,0,0,2392390,6,0,5437249,19,0,0,0,0,2.51E-06,0.00222389342501074,144,143,Low
