country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Poland,"$1,649,000,000,000 USD","$223,115,000,000 USD","$55,865,141,600 USD","$425,641,700,000 USD","312,685 km",440 km,"2,845 km","3,997 km","38,746,310","18,985,692","15,576,017","464,956","250,000","350,000","50,000","16,500","110,000","8,240","459,086","Stock: 457			
Readiness: 297*","Stock: 58 (12.7%)

Readiness: 38*","Stock: 12 (2.6%)

Readiness: 8*","Stock: 44 (9.6%)

Readiness: 29*","Stock: 112 (24.5%)

Readiness: 73*","Stock: 11 (2.4%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 224 (49.0%)

Readiness: 146*","Stock: 29 (6.3%)

Readiness: 19*","Stock: 798				
Readiness: 519*","Stock: 57,972            	
Readiness: 37,682*","Stock: 593				
Readiness: 385*","Stock: 0				
Readiness: 0*","Stock: 298				
Readiness: 194*",0.0,0.0,0.0,2.0,2.0,1.0,3.0,29.0,"24,000 bbl","743,000 bbl","-719,000 bbl","113,000,000 bbl","5,551,000,000 cu.m","20,056,000,000 cu.m","-14,505,000,000 cu.m","91,492,000,000 cu.m","96,720,000 mt","99,932,000 mt","-3,212,000 mt","27,758,000,000 mt",86.0%,"18,245,000",152,10,318,"427,580 km","19,461 km",0.3891
Taiwan,"$1,743,000,000,000 USD","$541,898,500,000 USD","$31,180,000,000 USD","$229,900,000,000 USD","35,980 km","1,566 km",NONE - ISLAND,0 km,"23,595,274","12,269,542","1,061,787","306,739","230,000","1,657,000","55,000","125,000","94,000","107,000","302,867","Stock: 720			
Readiness: 504*","Stock: 258 (35.8%)

Readiness: 181*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 19 (2.6%)

Readiness: 13*","Stock: 215 (29.9%)

Readiness: 151*","Stock: 18 (2.5%)

Readiness: 13*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 239 (33.2%)

Readiness: 167*","Stock: 91 (12.6%)

Readiness: 64*","Stock: 1,090				
Readiness: 709*","Stock: 24,067            	
Readiness: 15,644*","Stock: 488				
Readiness: 317*","Stock: 1,360				
Readiness: 884*","Stock: 223				
Readiness: 145*",0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,800 bbl,"954,000 bbl","-953,200 bbl","2,380,000 bbl","63,747,000 cu.m","21,157,000,000 cu.m","-21,093,253,000 cu.m","6,230,000,000 cu.m","5,212,000 mt","64,609,000 mt","-59,397,000 mt","1,000,000 mt",90.0%,"11,842,940",465,8,57,"43,206 km","1,613 km",0.3927
Vietnam,"$1,456,000,000,000 USD","$83,082,000,000 USD","$10,200,000,000 USD","$34,426,000,000 USD","331,210 km","3,444 km","4,616 km","47,130 km","105,758,975","54,994,667","45,053,323","1,797,903","450,000","5,000,000","250,000","35,000","5,450,000","50,000","1,775,206","Stock: 265			
Readiness: 146*","Stock: 61 (23.0%)

Readiness: 34*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (2.3%)

Readiness: 3*","Stock: 91 (34.3%)

Readiness: 50*","Stock: 3 (1.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 101 (38.1%)

Readiness: 56*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1,999				
Readiness: 1,199*","Stock: 69,914            	
Readiness: 41,948*","Stock: 30				
Readiness: 18*","Stock: 3,250				
Readiness: 1,950*","Stock: 774				
Readiness: 464*",0.0,0.0,0.0,9.0,17.0,6.0,27.0,8.0,"187,000 bbl","544,000 bbl","-357,000 bbl","4,400,000,000 bbl","7,676,000,000 cu.m","7,676,000,000 cu.m",0 cu.m,"699,426,000,000 cu.m","51,519,000 mt","96,099,000 mt","-44,580,000 mt","3,116,000,000 mt",78.0%,"57,133,000","1,973",16,36,"195,468 km","2,600 km",0.4066
Thailand,"$1,558,000,000,000 USD","$236,934,000,000 USD","$6,006,660,000 USD","$37,065,000,000 USD","513,120 km","3,219 km","5,673 km","4,000 km","69,920,998","36,358,919","27,968,399","1,118,736","360,850","200,000","25,000","46,000","245,000","69,850","1,104,613","Stock: 496			
Readiness: 298*","Stock: 73 (14.7%)

Readiness: 44*","Stock: 26 (5.2%)

Readiness: 16*","Stock: 52 (10.5%)

Readiness: 31*","Stock: 134 (27.0%)

Readiness: 80*","Stock: 25 (5.0%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 258 (52.0%)

Readiness: 155*","Stock: 7 (1.4%)

Readiness: 4*","Stock: 744				
Readiness: 484*","Stock: 52,590            	
Readiness: 34,184*","Stock: 59				
Readiness: 38*","Stock: 595				
Readiness: 387*","Stock: 17				
Readiness: 11*",0.0,1.0,0.0,7.0,5.0,0.0,254.0,5.0,"386,000 bbl","1,397,000 bbl","-1,011,000 bbl","252,750,000 bbl","30,797,000,000 cu.m","48,898,000,000 cu.m","-18,101,000,000 cu.m","138,243,000,000 cu.m","12,812,000 mt","42,371,000 mt","-29,559,000 mt","1,063,000,000 mt",90.0%,"40,623,000",884,21,105,"180,053 km","4,127 km",0.4458
Saudi Arabia,"$2,213,000,000,000 USD","$463,870,000,000 USD","$63,988,055,520 USD","$248,171,000,000 USD","2,149,690 km","2,640 km","4,272 km",0 km,"36,544,431","19,003,104","17,468,238","621,255","247,000",0,"150,000","30,000","75,000","13,500","613,412","Stock: 917			
Readiness: 596*","Stock: 283 (30.9%)

Readiness: 184*","Stock: 81 (8.8%)

Readiness: 53*","Stock: 49 (5.3%)

Readiness: 32*","Stock: 202 (22.0%)

Readiness: 131*","Stock: 16 (1.7%)

Readiness: 10*","Stock: 22 (2.4%)

Readiness: 14*","Stock: 264 (28.8%)

Readiness: 172*","Stock: 34 (3.7%)

Readiness: 22*","Stock: 1,085				
Readiness: 705*","Stock: 22,370            	
Readiness: 14,541*","Stock: 380				
Readiness: 247*","Stock: 557				
Readiness: 362*","Stock: 327				
Readiness: 213*",0.0,0.0,0.0,7.0,9.0,0.0,9.0,3.0,"11,174,000 bbl","3,524,000 bbl","+7,650,000 bbl","258,600,000,000 bbl","121,870,000,000 cu.m","121,870,000,000 cu.m",0 cu.m,"9,423,000,000,000 cu.m",0 mt,"66,000 mt","-66,000 mt",0 mt,100.0%,"17,168,000",433,16,90,"221,372 km","5,410 km",0.4473
Sweden,"$668,628,000,000 USD","$62,569,000,000 USD","$15,900,000,000 USD","$1,102,693,570,000 USD","450,295 km","3,218 km","2,211 km","2,052 km","10,589,835","4,235,934","3,558,185","105,898","25,600","34,000","104,400","8,255","15,300","2,100","104,561","Stock: 172			
Readiness: 129*","Stock: 73 (42.4%)

Readiness: 55*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (3.5%)

Readiness: 5*","Stock: 36 (20.9%)

Readiness: 27*","Stock: 3 (1.7%)

Readiness: 2*","Stock: 1 (0.6%)

Readiness: 1*","Stock: 53 (30.8%)

Readiness: 40*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 110				
Readiness: 83*","Stock: 27,576            	
Readiness: 20,682*","Stock: 24				
Readiness: 18*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,0.0,7.0,4.0,116.0,8.0,"11,000 bbl","270,000 bbl","-259,000 bbl",0 bbl,0 cu.m,"889,924,000 cu.m","-889,924,000 cu.m",0 cu.m,"1,042,000 mt","3,170,000 mt","-2,128,000 mt","5,000,000 mt",96.0%,"5,699,000",361,92,206,"197,964 km","10,910 km",0.4834
Algeria,"$722,912,000,000 USD","$83,007,000,000 USD","$25,000,000,000 USD","$4,764,000,000 USD","2,381,740 km",998 km,"6,734 km",0 km,"47,022,473","22,570,787","19,185,169","752,360","130,000","150,000","150,000","14,000","280,000","15,000","742,862","Stock: 620			
Readiness: 403*","Stock: 111 (17.9%)

Readiness: 72*","Stock: 42 (6.8%)

Readiness: 27*","Stock: 63 (10.2%)

Readiness: 41*","Stock: 90 (14.5%)

Readiness: 59*","Stock: 10 (1.6%)

Readiness: 7*","Stock: 4 (0.6%)

Readiness: 3*","Stock: 300 (48.4%)

Readiness: 195*","Stock: 74 (11.9%)

Readiness: 48*","Stock: 1,485				
Readiness: 965*","Stock: 24,920            	
Readiness: 16,198*","Stock: 224				
Readiness: 146*","Stock: 483				
Readiness: 314*","Stock: 188				
Readiness: 122*",0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,"1,443,000 bbl","446,000 bbl","+997,000 bbl","12,200,000,000 bbl","100,726,000,000 cu.m","47,963,000,000 cu.m","+52,763,000,000 cu.m","4,504,000,000,000 cu.m",0 mt,"3,000 mt","-3,000 mt","233,000,000 mt",77.0%,"13,294,000",119,17,95,"112,696 km","4,020 km",0.4849
Canada,"$2,341,000,000,000 USD","$119,778,000,000 USD","$45,824,959,620 USD","$2,571,113,270,000 USD","9,984,670 km","202,080 km","8,893 km",636 km,"38,794,813","16,681,770","13,500,595","426,743","63,500","23,000","5,500","15,560","49,300","16,300","421,356","Stock: 354			
Readiness: 266*","Stock: 66 (18.6%)

Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 29 (8.2%)

Readiness: 22*","Stock: 95 (26.8%)

Readiness: 71*","Stock: 34 (9.6%)

Readiness: 26*","Stock: 6 (1.7%)

Readiness: 5*","Stock: 146 (41.2%)

Readiness: 110*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 74				
Readiness: 56*","Stock: 21,780            	
Readiness: 16,335*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,"5,688,000 bbl","2,377,000 bbl","+3,311,000 bbl","170,300,000,000 bbl","187,686,000,000 cu.m","130,316,000,000 cu.m","+57,370,000,000 cu.m","2,067,126,000,000 cu.m","50,687,000 mt","20,092,000 mt","+30,595,000 mt","6,582,000,000 mt",94.0%,"22,868,000",716,284,"1,425","1,042,300 km","49,422 km",0.5269
Singapore,"$800,304,000,000 USD","$383,946,000,000 USD","$18,000,000,000 USD","$1,884,751,660,000 USD",719 km,193 km,NONE - ISLAND,0 km,"6,028,459","3,918,498","2,628,408","66,313","51,000","252,500","12,000","13,500","280,000","9,000","65,476","Stock: 235			
Readiness: 176*","Stock: 100 (42.6%)

Readiness: 75*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (3.8%)

Readiness: 7*","Stock: 36 (15.3%)

Readiness: 27*","Stock: 9 (3.8%)

Readiness: 7*","Stock: 11 (4.7%)

Readiness: 8*","Stock: 75 (31.9%)

Readiness: 56*","Stock: 20 (8.5%)

Readiness: 15*","Stock: 170				
Readiness: 128*","Stock: 17,244            	
Readiness: 12,933*","Stock: 48				
Readiness: 36*","Stock: 89				
Readiness: 67*","Stock: 24				
Readiness: 18*",0.0,0.0,0.0,6.0,6.0,6.0,55.0,4.0,0 bbl,"1,514,000 bbl","-1,514,000 bbl",0 bbl,0 cu.m,"13,724,000,000 cu.m","-13,724,000,000 cu.m",0 cu.m,0 mt,"1,153,000 mt","-1,153,000 mt",0 mt,94.0%,"3,722,000","3,202",5,9,"3,500 km",0 km,0.5272
Greece,"$192,205,000,000 USD","$15,222,000,000 USD","$8,242,150,000 USD","$605,000,000,000 USD","131,957 km","13,676 km","1,110 km",6 km,"10,461,091","4,916,713","3,985,676","104,611","142,700","221,350","55,000","42,500","200,000","30,000","103,290","Stock: 560			
Readiness: 392*","Stock: 178 (31.8%)

Readiness: 125*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 17 (3.0%)

Readiness: 12*","Stock: 86 (15.4%)

Readiness: 60*","Stock: 8 (1.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 285 (50.9%)

Readiness: 200*","Stock: 28 (5.0%)

Readiness: 20*","Stock: 1,344				
Readiness: 874*","Stock: 56,416            	
Readiness: 36,670*","Stock: 589				
Readiness: 383*","Stock: 698				
Readiness: 454*","Stock: 152				
Readiness: 99*",0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,"5,000 bbl","308,000 bbl","-303,000 bbl","10,000,000 bbl","3,284,000 cu.m","5,173,000,000 cu.m","-5,169,716,000 cu.m","991,090,000 cu.m","10,469,000 mt","10,091,000 mt","+378,000 mt","2,876,000,000 mt",85.0%,"4,655,000","1,215",57,82,"117,000 km","2,345 km",0.5484
North Korea,"$15,416,000,000 USD","$5,500,000,000 USD","$4,750,000,000 USD","$6,050,000,000 USD","120,538 km","2,495 km","1,607 km","2,250 km","26,298,666","9,467,520","5,312,331","420,779","1,320,000","560,000","100,000","110,000","1,370,000","60,000","415,467","Stock: 837			
Readiness: 377*","Stock: 341 (40.7%)

Readiness: 153*","Stock: 114 (13.6%)

Readiness: 51*","Stock: 1 (0.1%)

Readiness: 0*","Stock: 176 (21.0%)

Readiness: 79*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 205 (24.5%)

Readiness: 92*","Stock: 20 (2.4%)

Readiness: 9*","Stock: 4,895				
Readiness: 2,448*","Stock: 47,792            	
Readiness: 23,896*","Stock: 1,300				
Readiness: 650*","Stock: 700				
Readiness: 350*","Stock: 1,500				
Readiness: 750*",0.0,0.0,2.0,2.0,8.0,24.0,227.0,1.0,0 bbl,"18,000 bbl","-18,000 bbl",0 bbl,0 cu.m,0 cu.m,0 cu.m,0 cu.m,"21,927,000 mt","22,105,000 mt","-178,000 mt","10,600,000,000 mt",0.0%,"17,637,000",264,10,81,"25,554 km","7,435 km",0.5933
Argentina,"$1,213,000,000,000 USD","$29,560,000,000 USD","$993,919,790 USD","$74,362,000,000 USD","2,780,400 km","4,989 km","11,968 km","11,000 km","46,994,384","20,677,529","17,575,900","704,916","108,000","12,370","20,000","14,000","108,000","18,370","696,017","Stock: 241			
Readiness: 133*","Stock: 23 (9.5%)

Readiness: 13*","Stock: 11 (4.6%)

Readiness: 6*","Stock: 25 (10.4%)

Readiness: 14*","Stock: 71 (29.5%)

Readiness: 39*","Stock: 13 (5.4%)

Readiness: 7*","Stock: 2 (0.8%)

Readiness: 1*","Stock: 96 (39.8%)

Readiness: 53*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 362				
Readiness: 199*","Stock: 22,432            	
Readiness: 12,338*","Stock: 20				
Readiness: 11*","Stock: 172				
Readiness: 95*","Stock: 27				
Readiness: 15*",0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,"807,000 bbl","749,000 bbl","+58,000 bbl","2,483,000,000 bbl","43,280,000,000 cu.m","46,228,000,000 cu.m","-2,948,000,000 cu.m","396,464,000,000 cu.m","869,000 mt","2,534,000 mt","-1,665,000 mt","799,999,000 mt",89.0%,"22,286,000",201,37,764,"240,000 km","17,866 km",0.5983
Nigeria,"$1,318,000,000,000 USD","$38,612,000,000 USD","$3,900,000,000 USD","$45,009,000,000 USD","923,768 km",853 km,"4,477 km","8,600 km","236,747,130","125,475,979","90,437,404","4,261,448","230,000",0,"50,000","18,000","1,960,000","11,000","4,207,650","Stock: 159			
Readiness: 87*","Stock: 14 (8.8%)

Readiness: 8*","Stock: 24 (15.1%)

Readiness: 13*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 28 (17.6%)

Readiness: 15*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 69 (43.4%)

Readiness: 38*","Stock: 15 (9.4%)

Readiness: 8*","Stock: 330				
Readiness: 182*","Stock: 12,219            	
Readiness: 6,720*","Stock: 40				
Readiness: 22*","Stock: 339				
Readiness: 186*","Stock: 37				
Readiness: 20*",0.0,0.0,0.0,1.0,0.0,0.0,132.0,2.0,"1,541,000 bbl","527,000 bbl","+1,014,000 bbl","36,890,000,000 bbl","39,951,000,000 cu.m","20,719,000,000 cu.m","+19,232,000,000 cu.m","5,761,000,000,000 cu.m","1,322,000 mt","1,326,000 mt","-4,000 mt","2,144,000,000 mt",39.0%,"113,350,000",928,28,50,"195,000 km","3,798 km",0.6097
Netherlands,"$1,276,000,000,000 USD","$79,129,000,000 USD","$31,791,150,000 USD","$5,257,949,730,000 USD","41,543 km",451 km,"1,053 km","6,237 km","17,772,378","7,997,570","6,486,918","195,496","44,245","8,510","5,000","9,500","53,212","24,822","193,028","Stock: 130			
Readiness: 91*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 38 (29.2%)

Readiness: 27*","Stock: 4 (3.1%)

Readiness: 3*","Stock: 21 (16.2%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 67 (51.5%)

Readiness: 47*","Stock: 16 (12.3%)

Readiness: 11*","Stock: 18				
Readiness: 13*","Stock: 6,689            	
Readiness: 4,682*","Stock: 46				
Readiness: 32*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 3*",0.0,0.0,0.0,6.0,0.0,3.0,76.0,3.0,"70,000 bbl","840,000 bbl","-770,000 bbl","137,747,000 bbl","17,774,000,000 cu.m","33,243,000,000 cu.m","-15,469,000,000 cu.m","132,608,000,000 cu.m","1,761,000 mt","12,796,000 mt","-11,035,000 mt","3,247,000,000 mt",97.0%,"10,315,000","1,187",18,44,"139,027 km","3,055 km",0.6142
Myanmar,"$287,559,000,000 USD","$8,590,400,000 USD","$2,815,031,361 USD","$8,748,000,000 USD","676,578 km","1,930 km","6,522 km","12,800 km","57,527,139","30,489,384","21,975,367","1,035,489","228,000","19,000","55,000","25,000","255,000","30,000","1,022,417","Stock: 331			
Readiness: 182*","Stock: 70 (21.1%)

Readiness: 39*","Stock: 20 (6.0%)

Readiness: 11*","Stock: 33 (10.0%)

Readiness: 18*","Stock: 120 (36.3%)

Readiness: 66*","Stock: 5 (1.5%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 86 (26.0%)

Readiness: 47*","Stock: 9 (2.7%)

Readiness: 5*","Stock: 1,040				
Readiness: 572*","Stock: 11,576            	
Readiness: 6,367*","Stock: 225				
Readiness: 124*","Stock: 1,680				
Readiness: 924*","Stock: 1,520				
Readiness: 836*",0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,"7,000 bbl","122,000 bbl","-115,000 bbl","139,000,000 bbl","16,780,000,000 cu.m","3,788,000,000 cu.m","+12,992,000,000 cu.m","637,129,000,000 cu.m","1,031,000 mt","907,000 mt","+124,000 mt","252,000,000 mt",59.0%,"22,742,000",101,7,74,"157,000 km","5,031 km",0.6265
Mexico,"$2,883,000,000,000 USD","$232,035,000,000 USD","$9,100,000,000 USD","$306,308,000,000 USD","1,964,375 km","9,330 km","4,389 km","2,900 km","130,739,927","61,447,766","49,811,912","2,222,579","387,000","98,653","120,000","30,515","275,443","92,043","2,194,520","Stock: 424			
Readiness: 254*","Stock: 2 (0.5%)

Readiness: 1*","Stock: 32 (7.5%)

Readiness: 19*","Stock: 40 (9.4%)

Readiness: 24*","Stock: 175 (41.3%)

Readiness: 105*","Stock: 25 (5.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 173 (40.8%)

Readiness: 104*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 23,548            	
Readiness: 14,129*","Stock: 35				
Readiness: 21*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,1.0,3.0,0.0,142.0,0.0,"2,101,000 bbl","1,741,000 bbl","+360,000 bbl","5,786,000,000 bbl","31,422,000,000 cu.m","90,566,000,000 cu.m","-59,144,000,000 cu.m","180,322,000,000 cu.m","6,296,000 mt","15,132,000 mt","-8,836,000 mt","1,160,000,000 mt",81.0%,"60,959,000",674,35,"1,580","704,884 km","23,389 km",0.6401
Bangladesh,"$1,473,000,000,000 USD","$21,395,000,000 USD","$3,340,000,000 USD","$58,020,000,000 USD","148,460 km",580 km,"4,413 km","8,370 km","168,697,184","82,661,620","66,129,296","3,205,246","204,000",0,"6,800,000","19,000","173,408","22,000","3,164,782","Stock: 212			
Readiness: 138*","Stock: 41 (19.3%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 17 (8.0%)

Readiness: 11*","Stock: 83 (39.2%)

Readiness: 54*","Stock: 4 (1.9%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 67 (31.6%)

Readiness: 44*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 320				
Readiness: 224*","Stock: 11,584            	
Readiness: 8,109*","Stock: 36				
Readiness: 25*","Stock: 487				
Readiness: 341*","Stock: 103				
Readiness: 72*",0.0,0.0,0.0,7.0,6.0,2.0,61.0,5.0,"13,000 bbl","263,000 bbl","-250,000 bbl","28,000,000 bbl","24,620,000,000 cu.m","30,384,000,000 cu.m","-5,764,000,000 cu.m","126,293,000,000 cu.m","767,000 mt","14,050,000 mt","-13,283,000 mt","3,260,000,000 mt",45.0%,"77,355,000",558,2,17,"369,105 km","2,460 km",0.6517
Portugal,"$556,942,000,000 USD","$55,160,000,000 USD","$6,760,000,000 USD","$530,000,000,000 USD","92,090 km","1,793 km","1,224 km",764 km,"10,639,726","5,319,863","4,096,295","127,677","25,000","23,500","23,300","6,000","12,000","7,000","126,065","Stock: 128			
Readiness: 90*","Stock: 28 (21.9%)

Readiness: 20*","Stock: 5 (3.9%)

Readiness: 4*","Stock: 20 (15.6%)

Readiness: 14*","Stock: 23 (18.0%)

Readiness: 16*","Stock: 16 (12.5%)

Readiness: 11*","Stock: 4 (3.1%)

Readiness: 3*","Stock: 36 (28.1%)

Readiness: 25*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 34				
Readiness: 24*","Stock: 10,419            	
Readiness: 7,293*","Stock: 23				
Readiness: 16*","Stock: 54				
Readiness: 38*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,"12,932 bbl","200,000 bbl","-187,068 bbl","22,440,000 bbl",0 cu.m,"3,700,000,000 cu.m","-3,700,000,000 cu.m","72,000,000,000 cu.m",0 mt,0 mt,0 mt,"40,000,000 mt",86.0%,"5,332,100","1,158",36,136,"136,635 km","3,622 km",0.6659
Norway,"$507,680,000,000 USD","$81,242,000,000 USD","$11,189,483,200 USD","$787,758,400,000 USD","323,802 km","25,148 km","2,566 km","1,577 km","5,509,733","2,203,893","1,807,192","71,627","33,440","20,100","40,500","3,650","8,735","4,010","70,723","Stock: 109			
Readiness: 82*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 43 (39.4%)

Readiness: 32*","Stock: 4 (3.7%)

Readiness: 3*","Stock: 23 (21.1%)

Readiness: 17*","Stock: 5 (4.6%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 34 (31.2%)

Readiness: 26*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 36				
Readiness: 25*","Stock: 11,441            	
Readiness: 8,009*","Stock: 28				
Readiness: 20*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,4.0,6.0,6.0,20.0,5.0,"2,020,000 bbl","229,000 bbl","+1,791,000 bbl","8,122,200,000 bbl","123,727,000,000 cu.m","4,548,000,000 cu.m","+119,179,000,000 cu.m","1,544,455,000,000 cu.m","120,000 mt","1,096,000 mt","-976,000 mt","2,000,000 mt",99.0%,"3,042,000","1,720",141,146,"95,120 km","3,848 km",0.6679
South Africa,"$870,420,000,000 USD","$65,435,000,000 USD","$2,877,000,000 USD","$93,879,000,000 USD","1,219,090 km","2,798 km","5,244 km",0 km,"60,442,647","27,803,618","14,989,776","1,027,525","68,731","29,350","50,000","13,815","53,872","7,890","1,014,553","Stock: 181			
Readiness: 118*","Stock: 2 (1.1%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (6.1%)

Readiness: 7*","Stock: 81 (44.8%)

Readiness: 53*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 87 (48.1%)

Readiness: 57*","Stock: 10 (5.5%)

Readiness: 7*","Stock: 248				
Readiness: 161*","Stock: 23,024            	
Readiness: 14,966*","Stock: 52				
Readiness: 34*","Stock: 434				
Readiness: 282*","Stock: 201				
Readiness: 131*",0.0,0.0,0.0,4.0,0.0,3.0,42.0,4.0,"88,000 bbl","609,000 bbl","-521,000 bbl","15,000,000 bbl","59,128,000 cu.m","4,487,000,000 cu.m","-4,427,872,000 cu.m",0 cu.m,"239,712,000 mt","176,095,000 mt","+63,617,000 mt","9,893,000,000 mt",76.0%,"27,766,000",110,8,573,"750,000 km","30,400 km",0.6843
Philippines,"$1,202,000,000,000 USD","$106,195,000,000 USD","$6,571,641,011 USD","$63,241,000,000 USD","300,000 km","36,289 km",NONE - ISLAND,"3,219 km","118,277,063","50,859,137","41,751,803","2,128,987","160,000","1,500,000","35,000","33,600","1,310,000","42,270","2,102,110","Stock: 204			
Readiness: 112*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 17 (8.3%)

Readiness: 9*","Stock: 23 (11.3%)

Readiness: 13*","Stock: 23 (11.3%)

Readiness: 13*","Stock: 11 (5.4%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 130 (63.7%)

Readiness: 72*","Stock: 6 (2.9%)

Readiness: 3*","Stock: 18				
Readiness: 11*","Stock: 20,551            	
Readiness: 12,331*","Stock: 12				
Readiness: 7*","Stock: 296				
Readiness: 178*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,"10,000 bbl","457,000 bbl","-447,000 bbl","138,500,000 bbl","2,251,000,000 cu.m","2,251,000,000 cu.m",0 cu.m,"98,543,000,000 cu.m","14,457,000 mt","42,859,000 mt","-28,402,000 mt","361,000,000 mt",84.0%,"50,979,000","2,203",70,256,"216,387 km",77 km,0.6993
Malaysia,"$1,212,000,000,000 USD","$116,229,000,000 USD","$5,100,000,000 USD","$8,748,000,000 USD","329,847 km","4,675 km","2,742 km","7,200 km","34,564,810","16,245,461","13,480,276","553,037","113,000","51,600","100,000","15,000","130,000","18,000","546,055","Stock: 132			
Readiness: 79*","Stock: 25 (18.9%)

Readiness: 15*","Stock: 11 (8.3%)

Readiness: 7*","Stock: 15 (11.4%)

Readiness: 9*","Stock: 31 (23.5%)

Readiness: 19*","Stock: 6 (4.5%)

Readiness: 4*","Stock: 4 (3.0%)

Readiness: 2*","Stock: 45 (34.1%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 48				
Readiness: 29*","Stock: 15,415            	
Readiness: 9,249*","Stock: 0				
Readiness: 0*","Stock: 196				
Readiness: 118*","Stock: 36				
Readiness: 22*",0.0,0.0,0.0,2.0,4.0,2.0,72.0,4.0,"582,000 bbl","672,000 bbl","-90,000 bbl","3,600,000,000 bbl","75,456,000,000 cu.m","42,499,000,000 cu.m","+32,957,000,000 cu.m","1,189,000,000,000 cu.m","4,476,000 mt","35,741,000 mt","-31,265,000 mt","226,000,000 mt",98.0%,"18,264,000","1,750",35,100,"144,403 km","1,851 km",0.7379
